Actinobacteria,Bacteriaunclassified,Bacteroidetes,CandidatusSaccharibacteria,Deferribacteres,Firmicutes,Proteobacteria,Tenericutes,Verrucomicrobia
0.0135584963,5.683202e-4,0.6709831939,2.435658e-4,0,0.2822115769999995,0.0320289032,4.05943e-4,0
0.00549793874,0.0014994376,0.7037985455500003,6.247657e-5,0,0.2502811552899999,0.0343621113,0.004498313,0
0.009523808880000002,0.0026625708,0.5231950576200001,0,0,0.42094212752000015,0.0420891007,0.001587302,0
0.0044686497200000005,0.00240189906,0.5267700454999997,5.585812e-5,0,0.43820696031999984,0.02670018112,0.001396453,0
0.0096515917,0.00968815118,0.4340291474599998,4.387087e-4,0.07074178,0.3232917875799998,0.15215881620000002,0,0
0.053235916800000005,0.00176650079,0.43736954332000016,0.001445319,0.009715754,0.3781917523999998,0.1182752598,0,0
0.012422602639999999,0.00837260055,0.4837415317600002,0,0.05911445,0.29498812517000045,0.14136064233000004,0,0
0.0240874795,0.002618204,0.4098875558899997,5.544432e-4,0.03693208,0.4043123403199993,0.12160787881000001,0,0
0.03446226773,0.024867411319999998,0.5098039626199999,0.002156643,0,0.41995114310000003,0.005941771,0.002816839,0
0.027288597499999998,0.0073434422099999995,0.6184583610699999,0,0,0.3306815116899995,0.00546225094,0.004804968,0.00596088
0.01194953553,0.0012650438,0.7116384698800001,0.001282139,0,0.2659840055100003,0.005179841,0.002701039,0
